date,HDFC,overlap
2010-01-04,16.0,1.0
2010-01-05,13.0,1.0
2010-01-06,14.0,1.0
2010-01-07,12.0,1.0
2010-01-08,13.0,1.0
2010-01-09,12.0,1.0
2010-01-10,7.0,1.0
2010-01-11,13.0,1.0
2010-01-12,10.0,1.0
2010-01-13,10.0,1.0
2010-01-14,9.0,1.0
2010-01-15,11.0,1.0
2010-01-16,11.0,1.0
2010-01-17,6.0,1.0
2010-01-18,12.0,1.0
2010-01-19,12.0,1.0
2010-01-20,11.0,1.0
2010-01-21,10.0,1.0
2010-01-22,11.0,1.0
2010-01-23,9.0,1.0
2010-01-24,5.0,1.0
2010-01-25,12.0,1.0
2010-01-26,6.0,1.0
2010-01-27,12.0,1.0
2010-01-28,11.0,1.0
2010-01-29,15.0,1.0
2010-01-30,14.0,1.0
2010-01-31,8.0,1.0
2010-02-01,16.0,1.0
2010-02-02,14.0,
2010-02-03,13.0,
2010-02-04,13.0,
2010-02-05,14.0,
2010-02-06,13.0,
2010-02-07,8.0,
2010-02-08,14.0,
2010-02-09,12.0,
2010-02-10,11.0,
2010-02-11,11.0,
2010-02-12,10.0,
2010-02-13,10.0,
2010-02-14,5.0,
2010-02-15,15.0,
2010-02-16,13.0,
2010-02-17,12.0,
2010-02-18,11.0,
2010-02-19,12.0,
2010-02-20,11.0,
2010-02-21,6.0,
2010-02-22,12.0,
2010-02-23,12.0,
2010-02-24,11.0,
2010-02-25,11.0,
2010-02-26,17.0,
2010-02-27,12.0,
2010-02-28,7.0,
2010-03-01,9.0,
2010-03-02,16.0,
2010-03-03,14.0,
2010-03-04,15.0,
2010-03-05,14.0,
2010-03-06,13.0,
2010-03-07,6.0,
2010-03-08,16.0,
2010-03-09,13.0,
2010-03-10,13.0,
2010-03-11,12.0,
2010-03-12,13.0,
2010-03-13,12.0,
2010-03-14,7.0,
2010-03-15,13.0,
2010-03-16,10.0,
2010-03-17,14.0,
2010-03-18,12.0,
2010-03-19,13.0,
2010-03-20,12.0,
2010-03-21,6.0,
2010-03-22,12.0,
2010-03-23,12.0,
2010-03-24,11.0,
2010-03-25,13.0,
2010-03-26,13.0,
2010-03-27,12.0,
2010-03-28,6.0,
2010-03-29,13.0,
2010-03-30,17.0,
2010-03-31,20.0,
2010-04-01,15.0,
2010-04-02,13.0,
2010-04-03,14.0,
2010-04-04,9.0,
2010-04-05,20.0,
2010-04-06,18.0,
2010-04-07,14.0,
2010-04-08,15.0,
2010-04-09,13.0,
2010-04-10,12.0,
2010-04-11,8.0,1.0
2010-04-12,14.0,1.0
2010-04-13,14.0,1.0
2010-04-14,10.0,1.0
2010-04-15,12.0,1.0
2010-04-16,15.0,1.0
2010-04-17,12.0,1.0
2010-04-18,6.0,1.0
2010-04-19,13.0,1.0
2010-04-20,12.0,1.0
2010-04-21,10.0,1.0
2010-04-22,12.0,1.0
2010-04-23,13.0,1.0
2010-04-24,12.0,1.0
2010-04-25,7.0,1.0
2010-04-26,13.0,1.0
2010-04-27,13.0,1.0
2010-04-28,12.0,1.0
2010-04-29,14.0,1.0
2010-04-30,21.0,1.0
2010-05-01,12.0,1.0
2010-05-02,8.0,1.0
2010-05-03,17.0,1.0
2010-05-04,16.0,1.0
2010-05-05,15.0,1.0
2010-05-06,15.0,1.0
2010-05-07,15.0,1.0
2010-05-08,12.0,1.0
2010-05-09,7.0,1.0
2010-05-10,16.0,1.0
2010-05-11,13.0,1.0
2010-05-12,12.0,1.0
2010-05-13,15.0,1.0
2010-05-14,11.0,1.0
2010-05-15,12.0,1.0
2010-05-16,6.0,1.0
2010-05-17,13.0,1.0
2010-05-18,11.0,1.0
2010-05-19,12.0,1.0
2010-05-20,12.0,1.0
2010-05-21,14.0,1.0
2010-05-22,13.0,1.0
2010-05-23,6.0,1.0
2010-05-24,15.0,1.0
