date,HINDALCO,overlap
2010-01-04,8.0,1.0
2010-01-05,6.0,1.0
2010-01-06,12.0,1.0
2010-01-07,8.0,1.0
2010-01-08,7.0,1.0
2010-01-09,2.0,1.0
2010-01-10,4.0,1.0
2010-01-11,4.0,1.0
2010-01-12,9.0,1.0
2010-01-13,8.0,1.0
2010-01-14,7.0,1.0
2010-01-15,6.0,1.0
2010-01-16,4.0,1.0
2010-01-17,3.0,1.0
2010-01-18,10.0,1.0
2010-01-19,6.0,1.0
2010-01-20,7.0,1.0
2010-01-21,2.0,1.0
2010-01-22,9.0,1.0
2010-01-23,6.0,1.0
2010-01-24,8.0,1.0
2010-01-25,5.0,1.0
2010-01-26,5.0,1.0
2010-01-27,6.0,1.0
2010-01-28,4.0,1.0
2010-01-29,5.0,1.0
2010-01-30,2.0,1.0
2010-01-31,2.0,1.0
2010-02-01,5.0,1.0
2010-02-02,8.0,
2010-02-03,4.0,
2010-02-04,4.0,
2010-02-05,2.0,
2010-02-06,8.0,
2010-02-07,0.0,
2010-02-08,8.0,
2010-02-09,4.0,
2010-02-10,4.0,
2010-02-11,6.0,
2010-02-12,0.0,
2010-02-13,11.0,
2010-02-14,0.0,
2010-02-15,2.0,
2010-02-16,0.0,
2010-02-17,4.0,
2010-02-18,2.0,
2010-02-19,2.0,
2010-02-20,3.0,
2010-02-21,3.0,
2010-02-22,6.0,
2010-02-23,6.0,
2010-02-24,0.0,
2010-02-25,4.0,
2010-02-26,9.0,
2010-02-27,3.0,
2010-02-28,3.0,
2010-03-01,2.0,
2010-03-02,14.0,
2010-03-03,4.0,
2010-03-04,6.0,
2010-03-05,9.0,
2010-03-06,8.0,
2010-03-07,3.0,
2010-03-08,4.0,
2010-03-09,2.0,
2010-03-10,10.0,
2010-03-11,4.0,
2010-03-12,6.0,
2010-03-13,5.0,
2010-03-14,3.0,
2010-03-15,8.0,
2010-03-16,2.0,
2010-03-17,2.0,
2010-03-18,6.0,
2010-03-19,4.0,
2010-03-20,3.0,
2010-03-21,5.0,
2010-03-22,0.0,
2010-03-23,0.0,
2010-03-24,2.0,
2010-03-25,8.0,
2010-03-26,11.0,
2010-03-27,3.0,
2010-03-28,0.0,
2010-03-29,6.0,
2010-03-30,4.0,
2010-03-31,2.0,
2010-04-01,0.0,
2010-04-02,3.0,
