date,IOC,overlap
2010-01-04,13.0,1.0
2010-01-05,13.0,1.0
2010-01-06,10.0,1.0
2010-01-07,19.0,1.0
2010-01-08,19.0,1.0
2010-01-09,9.0,1.0
2010-01-10,12.0,1.0
2010-01-11,18.0,1.0
2010-01-12,19.0,1.0
2010-01-13,24.0,1.0
2010-01-14,24.0,1.0
2010-01-15,18.0,1.0
2010-01-16,16.0,1.0
2010-01-17,13.0,1.0
2010-01-18,20.0,1.0
2010-01-19,18.0,1.0
2010-01-20,22.0,1.0
2010-01-21,23.0,1.0
2010-01-22,22.0,1.0
2010-01-23,14.0,1.0
2010-01-24,12.0,1.0
2010-01-25,20.0,1.0
2010-01-26,19.0,1.0
2010-01-27,20.0,1.0
2010-01-28,23.0,1.0
2010-01-29,17.0,1.0
2010-01-30,17.0,1.0
2010-01-31,17.0,1.0
2010-02-01,22.0,1.0
2010-02-02,20.0,
2010-02-03,21.0,
2010-02-04,21.0,
2010-02-05,21.0,
2010-02-06,13.0,
2010-02-07,14.0,
2010-02-08,28.0,
2010-02-09,26.0,
2010-02-10,21.0,
2010-02-11,24.0,
2010-02-12,35.0,
2010-02-13,50.0,
2010-02-14,33.0,
2010-02-15,40.0,
2010-02-16,30.0,
2010-02-17,32.0,
2010-02-18,31.0,
2010-02-19,32.0,
2010-02-20,20.0,
2010-02-21,28.0,
2010-02-22,31.0,
2010-02-23,30.0,
2010-02-24,32.0,
2010-02-25,31.0,
2010-02-26,42.0,
2010-02-27,33.0,
2010-02-28,41.0,
2010-03-01,49.0,
2010-03-02,23.0,
2010-03-03,28.0,
2010-03-04,24.0,
2010-03-05,21.0,
2010-03-06,16.0,
2010-03-07,13.0,
2010-03-08,26.0,
2010-03-09,22.0,
2010-03-10,17.0,
2010-03-11,20.0,
2010-03-12,20.0,
2010-03-13,15.0,
2010-03-14,15.0,
2010-03-15,23.0,
2010-03-16,14.0,
2010-03-17,18.0,
2010-03-18,23.0,
2010-03-19,14.0,
2010-03-20,13.0,
2010-03-21,16.0,
2010-03-22,24.0,
2010-03-23,22.0,
2010-03-24,20.0,
2010-03-25,26.0,
2010-03-26,13.0,
2010-03-27,13.0,
2010-03-28,12.0,
2010-03-29,17.0,
2010-03-30,15.0,
2010-03-31,16.0,
2010-04-01,14.0,
2010-04-02,11.0,
2010-04-03,9.0,
2010-04-04,8.0,
2010-04-05,17.0,
2010-04-06,22.0,
2010-04-07,24.0,
2010-04-08,13.0,
2010-04-09,17.0,
2010-04-10,8.0,
2010-04-11,12.0,1.0
2010-04-12,22.0,1.0
2010-04-13,23.0,1.0
2010-04-14,16.0,1.0
2010-04-15,18.0,1.0
2010-04-16,19.0,1.0
2010-04-17,13.0,1.0
2010-04-18,14.0,1.0
2010-04-19,20.0,1.0
2010-04-20,25.0,1.0
2010-04-21,30.0,1.0
2010-04-22,33.0,1.0
2010-04-23,20.0,1.0
2010-04-24,11.0,1.0
2010-04-25,15.0,1.0
2010-04-26,21.0,1.0
2010-04-27,22.0,1.0
2010-04-28,22.0,1.0
2010-04-29,25.0,1.0
2010-04-30,21.0,1.0
2010-05-01,16.0,1.0
2010-05-02,19.0,1.0
2010-05-03,15.0,1.0
2010-05-04,20.0,1.0
2010-05-05,18.0,1.0
2010-05-06,18.0,1.0
2010-05-07,15.0,1.0
2010-05-08,15.0,1.0
2010-05-09,13.0,1.0
2010-05-10,23.0,1.0
2010-05-11,19.0,1.0
2010-05-12,19.0,1.0
2010-05-13,18.0,1.0
2010-05-14,12.0,1.0
2010-05-15,12.0,1.0
2010-05-16,9.0,1.0
2010-05-17,18.0,1.0
2010-05-18,19.0,1.0
2010-05-19,19.0,1.0
2010-05-20,17.0,1.0
2010-05-21,15.0,1.0
2010-05-22,10.0,1.0
2010-05-23,13.0,1.0
2010-05-24,16.0,1.0
2010-05-25,28.0,1.0
2010-05-26,24.0,1.0
2010-05-27,23.0,1.0
2010-05-28,21.0,1.0
2010-05-29,11.0,1.0
2010-05-30,12.0,1.0
2010-05-31,21.0,1.0
2010-06-01,22.0,1.0
2010-06-02,16.0,1.0
2010-06-03,22.0,1.0
2010-06-04,24.0,1.0
2010-06-05,8.0,1.0
2010-06-06,9.0,1.0
2010-06-07,16.0,1.0
2010-06-08,16.0,1.0
2010-06-09,17.0,1.0
2010-06-10,19.0,1.0
2010-06-11,14.0,1.0
2010-06-12,10.0,1.0
2010-06-13,8.0,1.0
2010-06-14,11.0,1.0
2010-06-15,15.0,1.0
2010-06-16,16.0,1.0
2010-06-17,22.0,1.0
2010-06-18,15.0,1.0
2010-06-19,8.0,1.0
2010-06-20,9.0,1.0
2010-06-21,16.0,1.0
2010-06-22,22.0,1.0
2010-06-23,17.0,1.0
2010-06-24,12.0,1.0
2010-06-25,15.0,1.0
2010-06-26,10.0,1.0
2010-06-27,8.0,1.0
2010-06-28,18.0,1.0
2010-06-29,13.0,1.0
2010-06-30,13.0,1.0
2010-07-01,13.0,1.0
2010-07-02,10.0,1.0
2010-07-03,7.0,1.0
2010-07-04,7.0,1.0
2010-07-05,11.0,1.0
2010-07-06,13.0,1.0
2010-07-07,11.0,1.0
2010-07-08,10.0,1.0
2010-07-09,9.0,1.0
2010-07-10,9.0,1.0
2010-07-11,9.0,1.0
2010-07-12,13.0,1.0
2010-07-13,12.0,1.0
