date,LT,overlap
2010-01-04,45.0,1.0
2010-01-05,39.0,1.0
2010-01-06,39.0,1.0
2010-01-07,40.0,1.0
2010-01-08,42.0,1.0
2010-01-09,40.0,1.0
2010-01-10,40.0,1.0
2010-01-11,44.0,1.0
2010-01-12,48.0,1.0
2010-01-13,48.0,1.0
2010-01-14,47.0,1.0
2010-01-15,44.0,1.0
2010-01-16,41.0,1.0
2010-01-17,43.0,1.0
2010-01-18,45.0,1.0
2010-01-19,48.0,1.0
2010-01-20,43.0,1.0
2010-01-21,48.0,1.0
2010-01-22,47.0,1.0
2010-01-23,41.0,1.0
2010-01-24,43.0,1.0
2010-01-25,48.0,1.0
2010-01-26,46.0,1.0
2010-01-27,47.0,1.0
2010-01-28,47.0,1.0
2010-01-29,39.0,1.0
2010-01-30,41.0,1.0
2010-01-31,37.0,1.0
2010-02-01,46.0,1.0
2010-02-02,40.0,
2010-02-03,44.0,
2010-02-04,43.0,
2010-02-05,42.0,
2010-02-06,41.0,
2010-02-07,39.0,
2010-02-08,44.0,
2010-02-09,43.0,
2010-02-10,44.0,
2010-02-11,42.0,
2010-02-12,43.0,
2010-02-13,43.0,
2010-02-14,45.0,
2010-02-15,41.0,
2010-02-16,38.0,
2010-02-17,49.0,
2010-02-18,46.0,
2010-02-19,39.0,
2010-02-20,49.0,
2010-02-21,40.0,
2010-02-22,47.0,
2010-02-23,52.0,
2010-02-24,41.0,
2010-02-25,53.0,
2010-02-26,48.0,
2010-02-27,41.0,
2010-02-28,36.0,
2010-03-01,47.0,
2010-03-02,43.0,
2010-03-03,46.0,
2010-03-04,45.0,
2010-03-05,43.0,
2010-03-06,41.0,
2010-03-07,44.0,
2010-03-08,47.0,
2010-03-09,46.0,
2010-03-10,41.0,
2010-03-11,39.0,
2010-03-12,41.0,
2010-03-13,41.0,
2010-03-14,47.0,
2010-03-15,47.0,
2010-03-16,43.0,
2010-03-17,45.0,
2010-03-18,41.0,
2010-03-19,48.0,
2010-03-20,44.0,
2010-03-21,41.0,
2010-03-22,49.0,
2010-03-23,41.0,
2010-03-24,41.0,
2010-03-25,47.0,
2010-03-26,41.0,
2010-03-27,43.0,
2010-03-28,46.0,
2010-03-29,43.0,
2010-03-30,41.0,
2010-03-31,41.0,
2010-04-01,46.0,
2010-04-02,48.0,
2010-04-03,41.0,
2010-04-04,36.0,
2010-04-05,35.0,
2010-04-06,43.0,
2010-04-07,41.0,
2010-04-08,39.0,
2010-04-09,43.0,
2010-04-10,42.0,
2010-04-11,46.0,1.0
2010-04-12,43.0,1.0
2010-04-13,44.0,1.0
2010-04-14,42.0,1.0
2010-04-15,45.0,1.0
2010-04-16,43.0,1.0
2010-04-17,39.0,1.0
2010-04-18,45.0,1.0
2010-04-19,43.0,1.0
2010-04-20,44.0,1.0
2010-04-21,49.0,1.0
2010-04-22,46.0,1.0
2010-04-23,46.0,1.0
2010-04-24,47.0,1.0
2010-04-25,42.0,1.0
2010-04-26,43.0,1.0
2010-04-27,44.0,1.0
2010-04-28,43.0,1.0
2010-04-29,45.0,1.0
2010-04-30,40.0,1.0
2010-05-01,47.0,1.0
2010-05-02,44.0,1.0
2010-05-03,42.0,1.0
2010-05-04,47.0,1.0
2010-05-05,47.0,1.0
2010-05-06,60.0,1.0
2010-05-07,54.0,1.0
2010-05-08,48.0,1.0
2010-05-09,43.0,1.0
2010-05-10,43.0,1.0
2010-05-11,42.0,1.0
2010-05-12,44.0,1.0
2010-05-13,41.0,1.0
2010-05-14,42.0,1.0
2010-05-15,41.0,1.0
2010-05-16,43.0,1.0
2010-05-17,40.0,1.0
2010-05-18,43.0,1.0
2010-05-19,46.0,1.0
2010-05-20,41.0,1.0
2010-05-21,41.0,1.0
2010-05-22,40.0,1.0
2010-05-23,41.0,1.0
2010-05-24,43.0,1.0
2010-05-25,44.0,1.0
2010-05-26,43.0,1.0
2010-05-27,42.0,1.0
2010-05-28,40.0,1.0
2010-05-29,39.0,1.0
2010-05-30,44.0,1.0
2010-05-31,45.0,1.0
2010-06-01,40.0,1.0
2010-06-02,41.0,1.0
