date,MARUTI,overlap
2010-01-04,48.0,1.0
2010-01-05,64.0,1.0
2010-01-06,49.0,1.0
2010-01-07,72.0,1.0
2010-01-08,86.0,1.0
2010-01-09,57.0,1.0
2010-01-10,44.0,1.0
2010-01-11,49.0,1.0
2010-01-12,49.0,1.0
2010-01-13,37.0,1.0
2010-01-14,45.0,1.0
2010-01-15,48.0,1.0
2010-01-16,64.0,1.0
2010-01-17,40.0,1.0
2010-01-18,54.0,1.0
2010-01-19,52.0,1.0
2010-01-20,34.0,1.0
2010-01-21,39.0,1.0
2010-01-22,45.0,1.0
2010-01-23,46.0,1.0
2010-01-24,35.0,1.0
2010-01-25,43.0,1.0
2010-01-26,30.0,1.0
2010-01-27,37.0,1.0
2010-01-28,45.0,1.0
2010-01-29,43.0,1.0
2010-01-30,46.0,1.0
2010-01-31,42.0,1.0
2010-02-01,37.0,1.0
2010-02-02,32.0,
2010-02-03,50.0,
2010-02-04,41.0,
2010-02-05,46.0,
2010-02-06,41.0,
2010-02-07,39.0,
2010-02-08,34.0,
2010-02-09,50.0,
2010-02-10,37.0,
2010-02-11,34.0,
2010-02-12,39.0,
2010-02-13,41.0,
2010-02-14,34.0,
2010-02-15,44.0,
2010-02-16,43.0,
2010-02-17,34.0,
2010-02-18,40.0,
2010-02-19,44.0,
2010-02-20,44.0,
2010-02-21,30.0,
2010-02-22,45.0,
2010-02-23,46.0,
2010-02-24,39.0,
2010-02-25,35.0,
2010-02-26,37.0,
2010-02-27,38.0,
2010-02-28,33.0,
2010-03-01,36.0,
2010-03-02,41.0,
2010-03-03,34.0,
2010-03-04,40.0,
2010-03-05,36.0,
2010-03-06,49.0,
2010-03-07,35.0,
2010-03-08,34.0,
2010-03-09,39.0,
2010-03-10,38.0,
2010-03-11,42.0,
2010-03-12,37.0,
2010-03-13,41.0,
2010-03-14,32.0,
2010-03-15,37.0,
2010-03-16,34.0,
2010-03-17,33.0,
2010-03-18,45.0,
2010-03-19,33.0,
2010-03-20,46.0,
2010-03-21,34.0,
2010-03-22,40.0,
2010-03-23,42.0,
2010-03-24,37.0,
2010-03-25,45.0,
2010-03-26,38.0,
2010-03-27,52.0,
2010-03-28,35.0,
2010-03-29,41.0,
2010-03-30,35.0,
2010-03-31,42.0,
2010-04-01,51.0,
2010-04-02,50.0,
2010-04-03,30.0,
2010-04-04,36.0,
2010-04-05,41.0,
2010-04-06,28.0,
2010-04-07,28.0,
2010-04-08,37.0,
2010-04-09,44.0,
2010-04-10,44.0,
2010-04-11,29.0,1.0
2010-04-12,32.0,1.0
2010-04-13,31.0,1.0
