date,SBIN,overlap
2010-01-04,2.0,1.0
2010-01-05,1.0,1.0
2010-01-06,2.0,1.0
2010-01-07,1.0,1.0
2010-01-08,2.0,1.0
2010-01-09,2.0,1.0
2010-01-10,2.0,1.0
2010-01-11,2.0,1.0
2010-01-12,2.0,1.0
2010-01-13,2.0,1.0
2010-01-14,1.0,1.0
2010-01-15,3.0,1.0
2010-01-16,2.0,1.0
2010-01-17,0.0,1.0
2010-01-18,0.0,1.0
2010-01-19,2.0,1.0
2010-01-20,2.0,1.0
2010-01-21,3.0,1.0
2010-01-22,3.0,1.0
2010-01-23,3.0,1.0
2010-01-24,2.0,1.0
2010-01-25,2.0,1.0
2010-01-26,1.0,1.0
2010-01-27,2.0,1.0
2010-01-28,1.0,1.0
2010-01-29,2.0,1.0
2010-01-30,0.0,1.0
2010-01-31,0.0,1.0
2010-02-01,1.0,1.0
2010-02-02,2.0,
2010-02-03,2.0,
2010-02-04,0.0,
2010-02-05,4.0,
2010-02-06,2.0,
2010-02-07,2.0,
2010-02-08,2.0,
2010-02-09,3.0,
2010-02-10,4.0,
2010-02-11,0.0,
2010-02-12,2.0,
2010-02-13,2.0,
2010-02-14,0.0,
2010-02-15,2.0,
2010-02-16,0.0,
2010-02-17,0.0,
2010-02-18,2.0,
2010-02-19,2.0,
2010-02-20,2.0,
2010-02-21,0.0,
2010-02-22,0.0,
2010-02-23,0.0,
2010-02-24,3.0,
2010-02-25,2.0,
2010-02-26,2.0,
2010-02-27,2.0,
2010-02-28,0.0,
2010-03-01,4.0,
2010-03-02,2.0,
2010-03-03,2.0,
2010-03-04,0.0,
2010-03-05,0.0,
2010-03-06,2.0,
2010-03-07,3.0,
2010-03-08,2.0,
2010-03-09,4.0,
2010-03-10,2.0,
2010-03-11,0.0,
2010-03-12,0.0,
2010-03-13,0.0,
2010-03-14,2.0,
2010-03-15,2.0,
2010-03-16,5.0,
2010-03-17,2.0,
2010-03-18,2.0,
2010-03-19,3.0,
2010-03-20,4.0,
2010-03-21,0.0,
2010-03-22,4.0,
2010-03-23,2.0,
2010-03-24,6.0,
2010-03-25,3.0,
2010-03-26,0.0,
2010-03-27,2.0,
2010-03-28,2.0,
2010-03-29,2.0,
2010-03-30,2.0,
2010-03-31,8.0,
2010-04-01,2.0,
2010-04-02,2.0,
2010-04-03,3.0,
2010-04-04,0.0,
2010-04-05,4.0,
2010-04-06,6.0,
2010-04-07,4.0,
2010-04-08,2.0,
2010-04-09,2.0,
2010-04-10,2.0,
2010-04-11,1.0,1.0
2010-04-12,1.0,1.0
2010-04-13,4.0,1.0
2010-04-14,2.0,1.0
2010-04-15,4.0,1.0
2010-04-16,0.0,1.0
2010-04-17,4.0,1.0
2010-04-18,0.0,1.0
2010-04-19,1.0,1.0
2010-04-20,4.0,1.0
2010-04-21,3.0,1.0
2010-04-22,2.0,1.0
2010-04-23,3.0,1.0
2010-04-24,1.0,1.0
2010-04-25,2.0,1.0
2010-04-26,2.0,1.0
2010-04-27,3.0,1.0
2010-04-28,2.0,1.0
2010-04-29,1.0,1.0
2010-04-30,3.0,1.0
2010-05-01,3.0,1.0
2010-05-02,0.0,1.0
2010-05-03,0.0,1.0
2010-05-04,6.0,1.0
2010-05-05,1.0,1.0
2010-05-06,2.0,1.0
