date,TCS,overlap
2010-01-04,29.0,1.0
2010-01-05,25.0,1.0
2010-01-06,24.0,1.0
2010-01-07,29.0,1.0
2010-01-08,30.0,1.0
2010-01-09,20.0,1.0
2010-01-10,18.0,1.0
2010-01-11,24.0,1.0
2010-01-12,28.0,1.0
2010-01-13,30.0,1.0
2010-01-14,24.0,1.0
2010-01-15,34.0,1.0
2010-01-16,23.0,1.0
2010-01-17,20.0,1.0
2010-01-18,28.0,1.0
2010-01-19,33.0,1.0
2010-01-20,28.0,1.0
2010-01-21,26.0,1.0
2010-01-22,26.0,1.0
2010-01-23,20.0,1.0
2010-01-24,17.0,1.0
2010-01-25,28.0,1.0
2010-01-26,19.0,1.0
2010-01-27,26.0,1.0
2010-01-28,29.0,1.0
2010-01-29,28.0,1.0
2010-01-30,21.0,1.0
2010-01-31,17.0,1.0
2010-02-01,26.0,1.0
2010-02-02,23.0,
2010-02-03,29.0,
2010-02-04,24.0,
2010-02-05,28.0,
2010-02-06,20.0,
2010-02-07,23.0,
2010-02-08,32.0,
2010-02-09,29.0,
2010-02-10,32.0,
2010-02-11,27.0,
2010-02-12,27.0,
2010-02-13,17.0,
2010-02-14,18.0,
2010-02-15,29.0,
2010-02-16,23.0,
2010-02-17,30.0,
2010-02-18,27.0,
2010-02-19,26.0,
2010-02-20,19.0,
2010-02-21,16.0,
2010-02-22,22.0,
2010-02-23,24.0,
2010-02-24,22.0,
2010-02-25,24.0,
2010-02-26,23.0,
2010-02-27,14.0,
2010-02-28,17.0,
2010-03-01,22.0,
2010-03-02,25.0,
2010-03-03,26.0,
2010-03-04,25.0,
2010-03-05,23.0,
2010-03-06,22.0,
2010-03-07,15.0,
2010-03-08,29.0,
2010-03-09,27.0,
2010-03-10,24.0,
2010-03-11,22.0,
2010-03-12,29.0,
2010-03-13,18.0,
2010-03-14,18.0,
2010-03-15,25.0,
2010-03-16,25.0,
2010-03-17,26.0,
2010-03-18,28.0,
2010-03-19,28.0,
2010-03-20,17.0,
2010-03-21,20.0,
2010-03-22,22.0,
2010-03-23,25.0,
2010-03-24,22.0,
2010-03-25,21.0,
2010-03-26,29.0,
2010-03-27,21.0,
2010-03-28,15.0,
2010-03-29,22.0,
2010-03-30,28.0,
2010-03-31,21.0,
2010-04-01,27.0,
2010-04-02,21.0,
2010-04-03,17.0,
2010-04-04,21.0,
2010-04-05,26.0,
2010-04-06,25.0,
2010-04-07,26.0,
2010-04-08,23.0,
2010-04-09,22.0,
2010-04-10,20.0,
2010-04-11,18.0,1.0
2010-04-12,27.0,1.0
2010-04-13,27.0,1.0
2010-04-14,24.0,1.0
2010-04-15,25.0,1.0
2010-04-16,25.0,1.0
2010-04-17,22.0,1.0
2010-04-18,16.0,1.0
2010-04-19,55.0,1.0
2010-04-20,38.0,1.0
2010-04-21,29.0,1.0
2010-04-22,28.0,1.0
2010-04-23,29.0,1.0
2010-04-24,20.0,1.0
2010-04-25,14.0,1.0
2010-04-26,28.0,1.0
2010-04-27,29.0,1.0
2010-04-28,27.0,1.0
2010-04-29,27.0,1.0
2010-04-30,28.0,1.0
2010-05-01,23.0,1.0
2010-05-02,19.0,1.0
2010-05-03,27.0,1.0
2010-05-04,22.0,1.0
2010-05-05,26.0,1.0
2010-05-06,29.0,1.0
2010-05-07,26.0,1.0
2010-05-08,25.0,1.0
2010-05-09,15.0,1.0
2010-05-10,26.0,1.0
2010-05-11,27.0,1.0
2010-05-12,26.0,1.0
2010-05-13,23.0,1.0
2010-05-14,27.0,1.0
2010-05-15,22.0,1.0
2010-05-16,18.0,1.0
2010-05-17,22.0,1.0
2010-05-18,28.0,1.0
2010-05-19,28.0,1.0
2010-05-20,28.0,1.0
2010-05-21,27.0,1.0
2010-05-22,20.0,1.0
2010-05-23,21.0,1.0
2010-05-24,24.0,1.0
2010-05-25,26.0,1.0
2010-05-26,22.0,1.0
2010-05-27,22.0,1.0
2010-05-28,24.0,1.0
2010-05-29,19.0,1.0
2010-05-30,22.0,1.0
2010-05-31,27.0,1.0
2010-06-01,25.0,1.0
2010-06-02,25.0,1.0
2010-06-03,27.0,1.0
2010-06-04,24.0,1.0
2010-06-05,20.0,1.0
2010-06-06,19.0,1.0
2010-06-07,28.0,1.0
2010-06-08,24.0,1.0
2010-06-09,25.0,1.0
2010-06-10,23.0,1.0
2010-06-11,28.0,1.0
2010-06-12,21.0,1.0
2010-06-13,17.0,1.0
2010-06-14,29.0,1.0
2010-06-15,28.0,1.0
2010-06-16,26.0,1.0
2010-06-17,28.0,1.0
2010-06-18,26.0,1.0
2010-06-19,26.0,1.0
2010-06-20,20.0,1.0
2010-06-21,27.0,1.0
2010-06-22,24.0,1.0
2010-06-23,24.0,1.0
2010-06-24,26.0,1.0
2010-06-25,26.0,1.0
2010-06-26,20.0,1.0
2010-06-27,19.0,1.0
2010-06-28,33.0,1.0
2010-06-29,29.0,1.0
2010-06-30,24.0,1.0
2010-07-01,29.0,1.0
2010-07-02,30.0,1.0
2010-07-03,23.0,1.0
2010-07-04,21.0,1.0
2010-07-05,27.0,1.0
2010-07-06,26.0,1.0
2010-07-07,30.0,1.0
2010-07-08,27.0,1.0
2010-07-09,33.0,1.0
2010-07-10,29.0,1.0
2010-07-11,22.0,1.0
2010-07-12,26.0,1.0
2010-07-13,31.0,1.0
2010-07-14,31.0,1.0
2010-07-15,38.0,1.0
2010-07-16,37.0,1.0
2010-07-17,34.0,1.0
2010-07-18,24.0,1.0
2010-07-19,30.0,1.0
2010-07-20,27.0,1.0
2010-07-21,29.0,
2010-07-22,27.0,
2010-07-23,27.0,
2010-07-24,26.0,
2010-07-25,21.0,
2010-07-26,32.0,
2010-07-27,27.0,
2010-07-28,23.0,
2010-07-29,32.0,
2010-07-30,35.0,
2010-07-31,28.0,
2010-08-01,19.0,
2010-08-02,36.0,
2010-08-03,39.0,
2010-08-04,37.0,
2010-08-05,37.0,
2010-08-06,35.0,
2010-08-07,31.0,
2010-08-08,31.0,
2010-08-09,42.0,
2010-08-10,39.0,
2010-08-11,34.0,
2010-08-12,41.0,
2010-08-13,43.0,
2010-08-14,34.0,
2010-08-15,28.0,
2010-08-16,37.0,
2010-08-17,39.0,
2010-08-18,39.0,
2010-08-19,49.0,
2010-08-20,55.0,
2010-08-21,44.0,
2010-08-22,32.0,
2010-08-23,35.0,
2010-08-24,34.0,
2010-08-25,44.0,
2010-08-26,41.0,
2010-08-27,48.0,
2010-08-28,42.0,
2010-08-29,30.0,
2010-08-30,34.0,
2010-08-31,31.0,
2010-09-01,28.0,
2010-09-02,22.0,
2010-09-03,32.0,
2010-09-04,22.0,
2010-09-05,24.0,
2010-09-06,40.0,
2010-09-07,36.0,
2010-09-08,34.0,
2010-09-09,29.0,
2010-09-10,15.0,
2010-09-11,15.0,
2010-09-12,17.0,
2010-09-13,37.0,
2010-09-14,36.0,
2010-09-15,25.0,
2010-09-16,33.0,
2010-09-17,36.0,
2010-09-18,20.0,
2010-09-19,26.0,
2010-09-20,31.0,
2010-09-21,34.0,
2010-09-22,33.0,
2010-09-23,28.0,
2010-09-24,32.0,
2010-09-25,26.0,
2010-09-26,22.0,
2010-09-27,29.0,1.0
2010-09-28,36.0,1.0
2010-09-29,30.0,1.0
2010-09-30,26.0,1.0
2010-10-01,31.0,1.0
2010-10-02,16.0,1.0
2010-10-03,18.0,1.0
2010-10-04,28.0,1.0
2010-10-05,28.0,1.0
2010-10-06,30.0,1.0
2010-10-07,24.0,1.0
2010-10-08,25.0,1.0
2010-10-09,23.0,1.0
2010-10-10,23.0,1.0
2010-10-11,32.0,1.0
2010-10-12,34.0,1.0
2010-10-13,28.0,1.0
2010-10-14,30.0,1.0
2010-10-15,30.0,1.0
2010-10-16,22.0,1.0
2010-10-17,19.0,1.0
2010-10-18,35.0,1.0
2010-10-19,32.0,1.0
2010-10-20,25.0,1.0
2010-10-21,41.0,1.0
2010-10-22,38.0,1.0
2010-10-23,31.0,1.0
2010-10-24,23.0,1.0
2010-10-25,34.0,1.0
2010-10-26,30.0,1.0
2010-10-27,29.0,1.0
2010-10-28,32.0,1.0
2010-10-29,31.0,1.0
2010-10-30,26.0,1.0
2010-10-31,17.0,1.0
2010-11-01,27.0,1.0
2010-11-02,28.0,1.0
2010-11-03,25.0,1.0
2010-11-04,26.0,1.0
2010-11-05,17.0,1.0
2010-11-06,18.0,1.0
2010-11-07,20.0,1.0
2010-11-08,25.0,1.0
2010-11-09,28.0,1.0
2010-11-10,26.0,1.0
2010-11-11,29.0,1.0
2010-11-12,27.0,1.0
2010-11-13,30.0,1.0
2010-11-14,19.0,1.0
2010-11-15,32.0,1.0
2010-11-16,35.0,1.0
2010-11-17,29.0,1.0
2010-11-18,36.0,1.0
2010-11-19,28.0,1.0
2010-11-20,29.0,1.0
2010-11-21,20.0,1.0
2010-11-22,27.0,1.0
2010-11-23,36.0,1.0
2010-11-24,30.0,1.0
2010-11-25,30.0,1.0
2010-11-26,36.0,1.0
2010-11-27,30.0,1.0
2010-11-28,24.0,1.0
2010-11-29,31.0,1.0
2010-11-30,34.0,1.0
2010-12-01,34.0,1.0
2010-12-02,30.0,1.0
2010-12-03,35.0,1.0
2010-12-04,30.0,1.0
2010-12-05,22.0,1.0
2010-12-06,28.0,1.0
2010-12-07,33.0,1.0
2010-12-08,37.0,1.0
2010-12-09,33.0,1.0
2010-12-10,32.0,1.0
2010-12-11,28.0,1.0
2010-12-12,18.0,1.0
2010-12-13,31.0,1.0
2010-12-14,29.0,1.0
2010-12-15,34.0,1.0
2010-12-16,32.0,1.0
2010-12-17,35.0,1.0
2010-12-18,28.0,1.0
2010-12-19,27.0,1.0
2010-12-20,29.0,1.0
2010-12-21,29.0,1.0
2010-12-22,27.0,1.0
2010-12-23,35.0,1.0
2010-12-24,33.0,1.0
2010-12-25,31.0,1.0
2010-12-26,23.0,1.0
2010-12-27,39.0,1.0
2010-12-28,36.0,1.0
2010-12-29,34.0,1.0
2010-12-30,36.0,1.0
2010-12-31,29.0,1.0
2011-01-01,31.0,1.0
2011-01-02,29.0,1.0
2011-01-03,41.0,1.0
2011-01-04,33.0,1.0
2011-01-05,32.0,1.0
2011-01-06,37.0,
2011-01-07,28.0,
2011-01-08,22.0,
2011-01-09,22.0,
2011-01-10,34.0,
2011-01-11,32.0,
2011-01-12,30.0,
2011-01-13,35.0,
2011-01-14,29.0,
2011-01-15,26.0,
2011-01-16,23.0,
2011-01-17,48.0,
2011-01-18,39.0,
2011-01-19,34.0,
2011-01-20,31.0,
2011-01-21,38.0,
2011-01-22,22.0,
2011-01-23,20.0,
2011-01-24,37.0,
2011-01-25,33.0,
2011-01-26,28.0,
2011-01-27,35.0,
2011-01-28,28.0,
2011-01-29,32.0,
2011-01-30,21.0,
2011-01-31,30.0,
2011-02-01,35.0,
2011-02-02,27.0,
2011-02-03,33.0,
2011-02-04,28.0,
2011-02-05,24.0,
2011-02-06,20.0,
2011-02-07,34.0,
2011-02-08,36.0,
2011-02-09,31.0,
2011-02-10,28.0,
2011-02-11,35.0,
2011-02-12,33.0,
2011-02-13,22.0,
2011-02-14,29.0,
2011-02-15,29.0,
2011-02-16,27.0,
2011-02-17,27.0,
2011-02-18,25.0,
2011-02-19,19.0,
2011-02-20,22.0,
2011-02-21,27.0,
2011-02-22,32.0,
2011-02-23,33.0,
2011-02-24,25.0,
2011-02-25,31.0,
2011-02-26,20.0,
2011-02-27,18.0,
2011-02-28,33.0,
2011-03-01,26.0,
2011-03-02,24.0,
2011-03-03,25.0,
2011-03-04,28.0,
2011-03-05,22.0,
2011-03-06,22.0,
2011-03-07,30.0,
2011-03-08,30.0,
2011-03-09,32.0,
2011-03-10,26.0,
2011-03-11,29.0,
2011-03-12,21.0,
2011-03-13,16.0,
2011-03-14,30.0,
2011-03-15,29.0,1.0
2011-03-16,27.0,1.0
2011-03-17,28.0,1.0
2011-03-18,26.0,1.0
2011-03-19,17.0,1.0
2011-03-20,17.0,1.0
2011-03-21,28.0,1.0
2011-03-22,30.0,1.0
2011-03-23,26.0,1.0
2011-03-24,25.0,1.0
2011-03-25,24.0,1.0
2011-03-26,22.0,1.0
2011-03-27,19.0,1.0
2011-03-28,28.0,1.0
2011-03-29,26.0,1.0
2011-03-30,22.0,1.0
2011-03-31,23.0,1.0
2011-04-01,28.0,1.0
2011-04-02,16.0,1.0
2011-04-03,17.0,1.0
2011-04-04,22.0,1.0
2011-04-05,25.0,1.0
2011-04-06,26.0,1.0
2011-04-07,27.0,1.0
2011-04-08,25.0,1.0
2011-04-09,21.0,1.0
2011-04-10,20.0,1.0
2011-04-11,28.0,1.0
2011-04-12,27.0,1.0
2011-04-13,26.0,1.0
2011-04-14,27.0,1.0
2011-04-15,28.0,1.0
2011-04-16,21.0,1.0
2011-04-17,19.0,1.0
2011-04-18,30.0,1.0
2011-04-19,30.0,1.0
2011-04-20,33.0,1.0
2011-04-21,49.0,1.0
2011-04-22,26.0,1.0
2011-04-23,27.0,1.0
2011-04-24,22.0,1.0
2011-04-25,36.0,1.0
2011-04-26,30.0,1.0
2011-04-27,27.0,1.0
2011-04-28,25.0,1.0
2011-04-29,26.0,1.0
2011-04-30,24.0,1.0
2011-05-01,20.0,1.0
2011-05-02,25.0,1.0
2011-05-03,26.0,1.0
2011-05-04,24.0,1.0
2011-05-05,29.0,1.0
2011-05-06,27.0,1.0
2011-05-07,20.0,1.0
2011-05-08,21.0,1.0
2011-05-09,27.0,1.0
2011-05-10,27.0,1.0
2011-05-11,26.0,1.0
2011-05-12,22.0,1.0
2011-05-13,23.0,1.0
2011-05-14,18.0,1.0
2011-05-15,20.0,1.0
2011-05-16,24.0,1.0
2011-05-17,27.0,1.0
2011-05-18,23.0,1.0
2011-05-19,26.0,1.0
2011-05-20,23.0,1.0
2011-05-21,20.0,1.0
2011-05-22,21.0,1.0
2011-05-23,27.0,1.0
2011-05-24,28.0,1.0
2011-05-25,25.0,1.0
2011-05-26,26.0,1.0
2011-05-27,27.0,1.0
2011-05-28,21.0,1.0
2011-05-29,20.0,1.0
2011-05-30,24.0,1.0
2011-05-31,28.0,1.0
2011-06-01,27.0,1.0
2011-06-02,28.0,1.0
2011-06-03,25.0,1.0
2011-06-04,25.0,1.0
2011-06-05,25.0,1.0
2011-06-06,26.0,1.0
2011-06-07,27.0,1.0
2011-06-08,26.0,1.0
2011-06-09,26.0,1.0
2011-06-10,24.0,1.0
2011-06-11,24.0,1.0
2011-06-12,18.0,1.0
2011-06-13,24.0,1.0
2011-06-14,27.0,1.0
2011-06-15,28.0,1.0
2011-06-16,24.0,1.0
2011-06-17,29.0,1.0
2011-06-18,23.0,1.0
2011-06-19,24.0,1.0
2011-06-20,26.0,1.0
2011-06-21,26.0,1.0
2011-06-22,29.0,1.0
2011-06-23,34.0,1.0
2011-06-24,29.0,
2011-06-25,22.0,
2011-06-26,22.0,
2011-06-27,28.0,
2011-06-28,28.0,
2011-06-29,30.0,
2011-06-30,28.0,
2011-07-01,32.0,
2011-07-02,24.0,
2011-07-03,23.0,
2011-07-04,28.0,
2011-07-05,29.0,
2011-07-06,30.0,
2011-07-07,29.0,
2011-07-08,26.0,
2011-07-09,24.0,
2011-07-10,21.0,
2011-07-11,30.0,
2011-07-12,32.0,
2011-07-13,31.0,
2011-07-14,36.0,
2011-07-15,36.0,
2011-07-16,24.0,
2011-07-17,21.0,
2011-07-18,32.0,
2011-07-19,32.0,
2011-07-20,31.0,
2011-07-21,31.0,
2011-07-22,29.0,
2011-07-23,28.0,
2011-07-24,22.0,
2011-07-25,29.0,
2011-07-26,29.0,
2011-07-27,32.0,
2011-07-28,32.0,
2011-07-29,30.0,
2011-07-30,27.0,
2011-07-31,22.0,
2011-08-01,32.0,
2011-08-02,29.0,
2011-08-03,33.0,
2011-08-04,32.0,
2011-08-05,34.0,
2011-08-06,29.0,
2011-08-07,31.0,
2011-08-08,40.0,
2011-08-09,30.0,
2011-08-10,34.0,
2011-08-11,30.0,
2011-08-12,32.0,
2011-08-13,28.0,
2011-08-14,25.0,
2011-08-15,23.0,
2011-08-16,27.0,
2011-08-17,28.0,
2011-08-18,36.0,
2011-08-19,37.0,
2011-08-20,35.0,
2011-08-21,31.0,
2011-08-22,30.0,
2011-08-23,35.0,
2011-08-24,36.0,
2011-08-25,34.0,
2011-08-26,35.0,
2011-08-27,34.0,
2011-08-28,30.0,
2011-08-29,34.0,
2011-08-30,35.0,
2011-08-31,27.0,1.0
2011-09-01,30.0,1.0
