date,TITAN,overlap
2010-01-04,26.0,1.0
2010-01-05,28.0,1.0
2010-01-06,26.0,1.0
2010-01-07,25.0,1.0
2010-01-08,25.0,1.0
2010-01-09,29.0,1.0
2010-01-10,27.0,1.0
2010-01-11,25.0,1.0
2010-01-12,26.0,1.0
2010-01-13,24.0,1.0
2010-01-14,23.0,1.0
2010-01-15,23.0,1.0
2010-01-16,29.0,1.0
2010-01-17,28.0,1.0
2010-01-18,26.0,1.0
2010-01-19,26.0,1.0
2010-01-20,24.0,1.0
2010-01-21,23.0,1.0
2010-01-22,24.0,1.0
2010-01-23,29.0,1.0
2010-01-24,28.0,1.0
2010-01-25,28.0,1.0
2010-01-26,26.0,1.0
2010-01-27,25.0,1.0
2010-01-28,26.0,1.0
2010-01-29,26.0,1.0
2010-01-30,28.0,1.0
2010-01-31,28.0,1.0
2010-02-01,26.0,1.0
2010-02-02,23.0,
2010-02-03,27.0,
2010-02-04,26.0,
2010-02-05,26.0,
2010-02-06,30.0,
2010-02-07,28.0,
2010-02-08,26.0,
2010-02-09,25.0,
2010-02-10,25.0,
2010-02-11,25.0,
2010-02-12,27.0,
2010-02-13,27.0,
2010-02-14,27.0,
2010-02-15,26.0,
2010-02-16,27.0,
2010-02-17,27.0,
2010-02-18,25.0,
2010-02-19,26.0,
2010-02-20,25.0,
2010-02-21,28.0,
2010-02-22,25.0,
2010-02-23,27.0,
2010-02-24,27.0,
2010-02-25,24.0,
2010-02-26,25.0,
2010-02-27,24.0,
2010-02-28,25.0,
2010-03-01,22.0,
2010-03-02,28.0,
2010-03-03,24.0,
2010-03-04,24.0,
2010-03-05,28.0,
2010-03-06,27.0,
2010-03-07,25.0,
2010-03-08,25.0,
2010-03-09,24.0,
2010-03-10,23.0,
2010-03-11,24.0,
2010-03-12,24.0,
2010-03-13,30.0,
2010-03-14,25.0,
2010-03-15,25.0,
2010-03-16,25.0,
2010-03-17,23.0,
2010-03-18,24.0,
2010-03-19,27.0,
2010-03-20,26.0,
2010-03-21,28.0,
2010-03-22,25.0,
2010-03-23,26.0,
2010-03-24,27.0,
2010-03-25,26.0,
2010-03-26,25.0,
2010-03-27,28.0,
2010-03-28,28.0,
2010-03-29,28.0,
2010-03-30,25.0,
2010-03-31,25.0,
2010-04-01,30.0,
2010-04-02,31.0,
2010-04-03,31.0,
2010-04-04,34.0,
2010-04-05,32.0,
2010-04-06,29.0,
2010-04-07,30.0,
2010-04-08,29.0,
2010-04-09,30.0,
2010-04-10,35.0,
2010-04-11,31.0,1.0
2010-04-12,27.0,1.0
2010-04-13,25.0,1.0
2010-04-14,27.0,1.0
