date,WIPRO,overlap
2010-01-04,16.0,1.0
2010-01-05,19.0,1.0
2010-01-06,15.0,1.0
2010-01-07,16.0,1.0
2010-01-08,19.0,1.0
2010-01-09,10.0,1.0
2010-01-10,10.0,1.0
2010-01-11,15.0,1.0
2010-01-12,18.0,1.0
2010-01-13,14.0,1.0
2010-01-14,16.0,1.0
2010-01-15,16.0,1.0
2010-01-16,12.0,1.0
2010-01-17,13.0,1.0
2010-01-18,20.0,1.0
2010-01-19,20.0,1.0
2010-01-20,23.0,1.0
2010-01-21,22.0,1.0
2010-01-22,21.0,1.0
2010-01-23,14.0,1.0
2010-01-24,10.0,1.0
2010-01-25,17.0,1.0
2010-01-26,11.0,1.0
2010-01-27,19.0,1.0
2010-01-28,17.0,1.0
2010-01-29,19.0,1.0
2010-01-30,15.0,1.0
2010-01-31,13.0,1.0
2010-02-01,20.0,1.0
2010-02-02,18.0,
2010-02-03,21.0,
2010-02-04,21.0,
2010-02-05,16.0,
2010-02-06,15.0,
2010-02-07,11.0,
2010-02-08,18.0,
2010-02-09,20.0,
2010-02-10,17.0,
2010-02-11,16.0,
2010-02-12,15.0,
2010-02-13,15.0,
2010-02-14,10.0,
2010-02-15,18.0,
2010-02-16,18.0,
2010-02-17,26.0,
2010-02-18,21.0,
2010-02-19,23.0,
2010-02-20,16.0,
2010-02-21,16.0,
2010-02-22,23.0,
2010-02-23,23.0,
2010-02-24,15.0,
2010-02-25,21.0,
2010-02-26,16.0,
2010-02-27,11.0,
2010-02-28,10.0,
2010-03-01,18.0,
2010-03-02,17.0,
2010-03-03,23.0,
2010-03-04,19.0,
2010-03-05,23.0,
2010-03-06,15.0,
2010-03-07,10.0,
2010-03-08,18.0,
2010-03-09,19.0,
2010-03-10,21.0,
2010-03-11,20.0,
2010-03-12,22.0,
2010-03-13,15.0,
2010-03-14,15.0,
2010-03-15,17.0,
2010-03-16,14.0,
2010-03-17,19.0,
2010-03-18,23.0,
2010-03-19,21.0,
2010-03-20,15.0,
2010-03-21,16.0,
2010-03-22,20.0,
2010-03-23,14.0,
2010-03-24,15.0,
2010-03-25,18.0,
2010-03-26,20.0,
2010-03-27,17.0,
2010-03-28,8.0,
2010-03-29,20.0,
2010-03-30,21.0,
2010-03-31,20.0,
2010-04-01,15.0,
2010-04-02,14.0,
2010-04-03,16.0,
2010-04-04,8.0,
2010-04-05,22.0,
