Unnamed: 0,ID,Date,<HIGH>,<LOW>,<OPEN>,<CLOSE>,<VOL>,Adj Close,emv,emv_ema_14,acc_dist,acc_dist_ema21,obv,obv_ema21,pvt,pvt_ema21,atr,bol_bands_middle,bol_bands_upper,bol_bands_lower,google news,Wikki hits,Sector
37905,HDFC,2010-01-04 00:00:00,112.5599975586,110.6999969482,111,111.3499984741,1079040,102.4615020752,-23976.5718933531,-2703.1554593389,-324870.735128854,107326.043051329,6355276860,6355897689.05114,286001821.212436,286665592.475511,27.5518057919,290.4223429696,371.3462268179,209.4984591212,2,,Bank
37906,HDFC,2010-01-05 00:00:00,116.6999969482,111.8000030518,111.9599990845,115.1900024414,2112500,105.9949569702,607.7158564272,-2482.4307049545,810513.318759597,139289.101038069,6357389360,6355965492.27609,286074672.658256,286638732.483818,26.071685304,282.0779458016,383.3971573169,180.7587342862,0,,Bank
37907,HDFC,2010-01-06 00:00:00,122,113.0699996948,115.8000030518,120.9000015259,5761450,111.249168396,509.1608820678,-2282.9912658196,4342057.8405055,330324.043741134,6363150810,6356292097.62717,286360269.268448,286626075.064937,24.9289063041,274.402805598,390.0479188466,158.7576923493,1,,Bank
37908,HDFC,2010-01-07 00:00:00,123.2099990845,119,121.4899978638,119.4700012207,3174260,109.933303833,473.4865904739,-2099.2260754001,-2465515.86733186,203240.411419634,6359976550,6356459572.73503,286322724.250157,286612286.391538,23.5476458228,267.0250530086,391.3680092504,142.6820967668,16,,Bank
37909,HDFC,2010-01-08 00:00:00,121.6999969482,118.6399993896,119.4000015259,119.3300018311,1220560,109.8044967651,-234.4089532307,-1974.9049339221,-670108.985738508,163542.711548809,6358755990,6356563955.33798,286321293.952565,286599059.462494,22.1818026052,259.9919553335,392.5066695803,127.4772410866,13,,Bank
37910,HDFC,2010-01-11 00:00:00,126.9800033569,119.5999984741,120.5999984741,123.3899993896,5512030,113.5404129028,417.7342195918,-1815.3956570212,149375.128624476,162898.730506794,6364268020,6356914140.09534,286508831.269246,286594958.180983,21.2130158666,253.4871002885,392.0377590126,114.9364415645,14,,Bank
37911,HDFC,2010-01-12 00:00:00,128.3999938965,123.2699966431,124.4000015259,125.2399978638,4366170,115.242729187,299.0221188652,-1674.4344719621,-1012811.38988906,109457.361397891,6368634190,6357446869.63646,286574293.688224,286594018.885857,20.1408146257,247.3800954111,390.7753303389,103.9848604834,12,,Bank
37912,HDFC,2010-01-13 00:00:00,130.9700012207,105,123.0500030518,129.9700012207,4475290,119.5951461792,-4555.3331937763,-1866.4943867497,4130639.2653337,292238.357031338,6373109480,6358158806.47117,286743314.26539,286600805.039472,20.5294270653,241.7891385449,388.6729424332,94.9053346567,13,,Bank
37913,HDFC,2010-01-14 00:00:00,132.5500030518,127.25,131.4799957275,127.8399963379,3020830,117.6351776123,2090.4698779472,-1602.6967691033,-2348272.41088728,172215.140307764,6370088650,6358701072.08612,286693807.590083,286605032.428136,19.5141321311,236.362988916,385.1087270478,87.6172507842,12,,Bank
37914,HDFC,2010-01-15 00:00:00,130.3999938965,127.0699996948,128.6000061035,129.8099975586,2396195,119.4479293823,-161.9008050912,-1506.6437048358,1547096.65972845,234709.754826886,6372484845,6359327607.21856,286730732.709061,286610746.077269,18.4351896025,231.2890369466,381.533458166,81.0446157273,7,,Bank
37915,HDFC,2010-01-18 00:00:00,131.6000061035,128.3099975586,128.3099975586,129.8099975586,2031560,119.4479293823,197.573637565,-1393.0292153424,-179078.489151894,215901.198282396,6372484845,6359925663.48136,286730732.709061,286616200.015078,17.4255108653,226.4567017377,377.2188215041,75.6945819713,13,,Bank
37916,HDFC,2010-01-19 00:00:00,130.7599945068,126,130.3999938965,126.4599990845,769910,116.3653411865,-973.7518849985,-1365.0773933195,-621103.989985606,177855.507906578,6371714935,6360461539.45948,286710863.689928,286620502.909389,16.5811431081,221.6949539923,372.725482919,70.6644250656,10,,Bank
37917,HDFC,2010-01-20 00:00:00,129,124.1200027466,127.0800018311,124.7300033569,843480,114.7734298706,-1052.9680485905,-1344.2701036709,-632609.670325551,141016.181623299,6370871455,6360934717.43859,286699324.730519,286624085.719441,15.8010667178,217.0775753906,368.4621020786,65.6930487026,10,,Bank
37918,HDFC,2010-01-21 00:00:00,128.9799957275,122.5999984741,124.3000030518,124.6800003052,1712055,114.7274475098,-286.9431848522,-1273.7816424163,-595729.273383566,107527.75185026,6369159400,6361308566.64593,286698638.384231,286627474.476931,15.1729954201,212.6776908627,363.167730352,62.1876513735,9,,Bank
37919,HDFC,2010-01-22 00:00:00,124.4000015259,117.5999984741,122.2200012207,123.0800018311,2194355,113.2551498413,-1484.3539401581,-1287.8197955991,1342429.52047032,163659.650423899,6366965045,6361565679.29838,286670478.577983,286629429.208797,14.6334625142,208.4111342422,357.5846450595,59.2376234248,11,,Bank
37920,HDFC,2010-01-25 00:00:00,124,119.6999969482,123.8000030518,120.2699966431,652660,110.6694564819,560.0153269252,-1164.6307874308,-479629.424744064,134419.237916264,6366312385,6361781438.64846,286655577.879586,286630617.784742,13.9445652167,204.2139372136,351.1988897253,57.228984702,11,,Bank
37921,HDFC,2010-01-27 00:00:00,122.7399978638,116.0199966431,120.3600006104,117.0699996948,999240,107.7248916626,-1661.1035605323,-1197.7289723042,-686976.649152364,97083.0612313272,6365313145,6361941970.75535,286628991.324004,286630543.854709,13.462927617,200.0642259032,344.1733098949,55.9551419116,6,,Bank
37922,HDFC,2010-01-28 00:00:00,120.5,115,119.0299987793,117.2399978638,811325,107.8813171387,-1104.98072829,-1191.5457560366,-150464.539337162,85830.8975691231,6366124470,6362132084.35738,286630169.454736,286630526.836528,12.9320657758,196.1202150442,336.9341343788,55.3062957095,12,,Bank
37923,HDFC,2010-01-29 00:00:00,120.8099975586,115,116.1999969482,119.0400009155,2203015,109.537651062,40.8777302606,-1109.3841902835,860732.455024627,121053.695635282,6368327485,6362413693.4775,286663992.670322,286632048.010791,12.457261228,192.4497286571,329.7680857676,55.1313715466,12,,Bank
37924,HDFC,2010-02-01 00:00:00,123.4400024414,118.0199966431,119,122.8000030518,642590,112.997505188,2382.7822585858,-876.5730936922,490834.735118121,137861.924702684,6368970075,6362711710.81943,286684289.543257,286634422.625903,11.988110866,189.1330750569,322.3140299541,55.9521201596,11,,Bank
